epoch,val_macro_f1,val_oa
10,0.07593384851823755,0.17309340188517566
20,0.0758850123803931,0.23393316195372751
30,0.10113345328114497,0.3221936589545844
40,0.09239897739887827,0.29562982005141386
50,0.09688628681607647,0.3050556983718937
60,0.10509908323524256,0.31276778063410454
70,0.1050151119621279,0.31191088260497
80,0.09870884762504072,0.32305055698371893
90,0.10005975606054245,0.3264781491002571
100,0.09228410878189945,0.3033419023136247
110,0.09087054924401246,0.29991431019708653
120,0.09203746815043153,0.29734361610968296
130,0.09350489833497196,0.30077120822622105
140,0.09350489833497196,0.30077120822622105
150,0.09300215418165746,0.2870608397600686
160,0.09350489833497196,0.30077120822622105
170,0.09350489833497196,0.30077120822622105
180,0.09350489833497196,0.30077120822622105
190,0.09350489833497196,0.30077120822622105
200,0.09350489833497196,0.30077120822622105
