epoch,val_macro_f1,val_oa
10,0.17153902116258854,0.5072587532023911
20,0.13159385606548363,0.3808710503842869
30,0.14616665749241398,0.39538855678906915
40,0.13843537192218633,0.4013663535439795
50,0.14544298120251853,0.3919726729291204
60,0.14563173781912794,0.4116140051238258
70,0.16378581778684376,0.43381725021349277
80,0.15810218988897923,0.4466268146883006
90,0.14616446313669582,0.430401366353544
100,0.15636987487537427,0.45772843723313406
110,0.16619626226621192,0.44918872758326217
120,0.17144291313174978,0.4748078565328779
130,0.17131455082432948,0.4671221178479932
140,0.16056080986944257,0.46968403074295473
150,0.17797366203868592,0.47566182749786506
160,0.19174991640146666,0.4739538855678907
170,0.193345910043747,0.47736976942783943
180,0.19409336868436888,0.47822374039282667
190,0.19409336868436888,0.47822374039282667
200,0.19409336868436888,0.47822374039282667
