epoch,val_macro_f1,val_oa
10,0.0007575757575757576,0.0008539709649871904
20,0.023978549540347293,0.1067463706233988
30,0.023978549540347293,0.1067463706233988
40,0.023978549540347293,0.1067463706233988
50,0.023978549540347293,0.1067463706233988
60,0.023978549540347293,0.1067463706233988
70,0.023978549540347293,0.1067463706233988
80,0.023978549540347293,0.1067463706233988
90,0.023978549540347293,0.1067463706233988
100,0.023978549540347293,0.1067463706233988
110,0.023978549540347293,0.1067463706233988
120,0.0007575757575757576,0.0008539709649871904
130,0.0007575757575757576,0.0008539709649871904
140,0.0007575757575757576,0.0008539709649871904
150,0.0007575757575757576,0.0008539709649871904
160,0.0007575757575757576,0.0008539709649871904
170,0.0007575757575757576,0.0008539709649871904
180,0.0007575757575757576,0.0008539709649871904
190,0.0007575757575757576,0.0008539709649871904
200,0.0007575757575757576,0.0008539709649871904
