epoch,val_macro_f1,val_oa
10,0.017803499292106027,0.04099060631938514
20,0.04156980387733431,0.03842869342442357
30,0.039259999205406015,0.04184457728437233
40,0.04829220053422575,0.04782237403928266
50,0.04245917871132293,0.05294619982920581
60,0.03363051354319232,0.053800170794193
70,0.021223489929595225,0.037574722459436376
80,0.034785397060434466,0.053800170794193
90,0.03340251941590588,0.06404782237403928
100,0.03323290823290823,0.0631938514090521
110,0.024373228253381535,0.06148590947907771
120,0.02499273747416392,0.06063193851409052
130,0.024616742261919036,0.06148590947907771
140,0.024375854728672708,0.06148590947907771
150,0.024373228253381535,0.06148590947907771
160,0.02428644939047158,0.06148590947907771
170,0.026926491217690727,0.06148590947907771
180,0.02615463780512324,0.06148590947907771
190,0.02615463780512324,0.06148590947907771
200,0.02615463780512324,0.06148590947907771
